Date,Open,High,Low,Close,Adj Close,Volume
01/11/2016,59.970001,61.41,57.279999,60.259998,55.75428,613056800
01/12/2016,60.110001,64.099998,58.799999,62.139999,57.882118,513579700
01/01/2017,62.790001,65.910004,61.950001,64.650002,60.220131,493453500
01/02/2017,64.360001,65.239998,62.75,63.98,59.596035,440744000
01/03/2017,64.129997,66.190002,63.619999,65.860001,61.719139,489169700
01/04/2017,65.809998,69.139999,64.849998,68.459999,64.155678,433191200
01/05/2017,68.68,70.739998,67.139999,69.839996,65.448898,517218500
01/06/2017,70.239998,72.889999,68.089996,68.93,64.966377,629716800
01/07/2017,69.330002,74.419998,68.019997,72.699997,68.519585,469851200
01/08/2017,73.099998,74.959999,71.279999,74.769997,70.470558,444070500
01/09/2017,74.709999,75.970001,72.919998,74.489998,70.580719,375983900
01/10/2017,74.709999,86.199997,73.709999,83.18,78.814644,449950000
01/11/2017,83.68,85.059998,82.239998,84.169998,79.752686,421926000
01/12/2017,83.599998,87.5,80.699997,85.540001,81.457855,466203300
01/01/2018,86.129997,95.449997,85.5,95.010002,90.475914,574258400
01/02/2018,94.790001,96.07,83.830002,93.769997,89.295097,725663300
01/03/2018,93.989998,97.239998,87.080002,91.269997,87.322685,750754800
01/04/2018,90.470001,97.900002,87.510002,93.519997,89.475372,668130700
01/05/2018,93.209999,99.989998,92.449997,98.839996,94.5653,509417900
01/06/2018,99.279999,102.690002,97.260002,98.610001,94.754173,602585200
01/07/2018,98.099998,111.150002,98,106.080002,101.932076,569352300
01/08/2018,106.029999,112.779999,104.839996,112.330002,107.937691,456628100
01/09/2018,110.849998,115.290001,107.230003,114.370003,110.320839,480255500
01/10/2018,114.75,116.18,100.110001,106.809998,103.028496,927548000
01/11/2018,107.050003,112.239998,99.349998,110.889999,106.964035,720228600
01/12/2018,113,113.419998,93.959999,101.57,98.397263,944314600
01/01/2019,99.550003,107.900002,97.199997,104.43,101.167931,714212800
01/02/2019,103.779999,113.239998,102.349998,112.029999,108.530525,469095900
01/03/2019,112.889999,120.82,108.800003,117.940002,114.743874,589095800
01/04/2019,118.949997,131.369995,118.099998,130.600006,127.060783,433157700
01/05/2019,130.529999,130.649994,123.040001,123.68,120.328308,547218800
01/06/2019,123.849998,138.399994,119.010002,133.960007,130.81218,508324300
01/07/2019,136.630005,141.679993,134.669998,136.270004,133.067886,484079900
01/08/2019,137,140.940002,130.779999,137.860001,134.620499,584482000
01/09/2019,136.610001,142.369995,134.509995,139.029999,136.215118,472544800
01/10/2019,139.660004,145.669998,133.220001,143.369995,140.467239,549523400
01/11/2019,144.259995,152.5,142.970001,151.380005,148.315079,392371800
01/12/2019,151.809998,159.550003,146.649994,157.699997,155.032867,450303300
01/01/2020,158.779999,174.050003,156.509995,170.229996,167.350937,558530000
01/02/2020,170.429993,190.699997,152,162.009995,159.269943,887522300
01/03/2020,165.309998,175,132.520004,157.710007,155.466171,1612695500
01/04/2020,153,180.399994,150.360001,179.210007,176.660263,984705000
01/05/2020,175.800003,187.509995,173.800003,183.25,180.642792,688845000
01/06/2020,182.539993,204.399994,181.350006,203.509995,201.173279,764965400
01/07/2020,203.139999,216.380005,197.509995,205.009995,202.656036,770190800
01/08/2020,211.520004,231.149994,203.139999,225.529999,222.940445,692423900
01/09/2020,225.509995,232.860001,196.25,210.330002,208.417557,768176300
01/10/2020,213.490005,225.210007,199.619995,202.470001,200.629028,631618000
01/11/2020,204.289993,228.119995,200.119995,214.070007,212.12355,573443000
01/12/2020,214.509995,227.179993,209.110001,222.419998,220.97464,594761700
01/01/2021,222.529999,242.639999,211.940002,231.960007,230.452652,648076400
01/02/2021,235.059998,246.130005,227.880005,232.380005,230.869934,490962200
01/03/2021,235.899994,241.050003,224.259995,235.770004,234.777374,724945800
01/04/2021,238.470001,263.190002,238.050003,252.179993,251.118286,568661600
01/05/2021,253.399994,254.350006,238.070007,249.679993,248.628799,495084900
01/06/2021,251.229996,271.649994,243,270.899994,270.382385,508572200
01/07/2021,269.609985,290.149994,269.600006,284.910004,284.365601,522668800
01/08/2021,286.359985,305.839996,283.73999,301.880005,301.303192,441257000
01/09/2021,302.869995,305.320007,281.619995,281.920013,281.920013,502886900
01/10/2021,282.119995,296.640015,280.25,294.850006,294.850006,152543400
08/10/2021,296.218994,296.6409,293.769989,294.850006,294.850006,17685700
